"filename", "language", "C++", "Batch", "Markdown", "Lua", "Python", "YAML", "C", "CMake", "XML", "Objective-C++", "HTML", "GLSL", "Groovy", "Shell Script", "comment", "blank", "total"
"c:\GitHub\Terraria-Clone\rlImGui-main\rlImGuiColors.h", "C++", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 5, 48
"c:\GitHub\Terraria-Clone\src\collider.cpp", "C++", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"c:\GitHub\Terraria-Clone\src\entity.cpp", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7
"c:\GitHub\Terraria-Clone\src\entityManager.cpp", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\GitHub\Terraria-Clone\src\game.cpp", "C++", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 72
"c:\GitHub\Terraria-Clone\src\inputManager.cpp", "C++", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\GitHub\Terraria-Clone\src\player.cpp", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 67
"c:\GitHub\Terraria-Clone\src\textureManager.cpp", "C++", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 57
"c:\GitHub\Terraria-Clone\src\worldManager.cpp", "C++", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 53
"Total", "-", 95708, 9, 2574, 274, 110, 146, 366, 607, 4189, 1830, 65, 65, 21, 2, 23621, 14549, 144136
